CustomerID,Gender,Age,Annual Income ($),Spending Score (1-100),Profession
1,Male,19,15000,39,Healthcare
2,Male,21,35000,81,Engineer
3,Female,20,86000,6,Engineer
4,Female,23,59000,77,Lawyer
5,Female,31,38000,40,Entertainment
6,Female,22,58000,76,Artist
7,Female,35,31000,6,Healthcare
8,Female,23,84000,94,Healthcare
9,Male,64,97000,3,Engineer
10,Female,30,98000,72,Artist
11,Male,67,7000,14,Engineer
12,Female,35,93000,99,Healthcare
13,Female,58,80000,15,Executive
14,Female,24,91000,77,Lawyer
15,Male,37,19000,13,Doctor
16,Male,22,51000,79,Healthcare
17,Female,35,29000,35,Homemaker
18,Male,20,89000,66,Healthcare
19,Male,52,20000,29,Entertainment
20,Female,35,62000,98,Artist
21,Male,35,96000,35,Homemaker
22,Male,25,4000,73,Healthcare
23,Female,46,42000,5,Artist
24,Male,31,71000,73,Artist
25,Female,54,67000,14,Executive
26,Male,29,52000,82,Artist
27,Female,45,68000,32,Healthcare
28,Male,35,78000,61,Artist
29,Female,40,18000,31,Artist
30,Female,23,20000,87,Artist
31,Male,60,39000,4,Artist
32,Female,21,34000,73,Doctor
33,Male,53,59000,4,Healthcare
34,Male,18,62000,92,Homemaker
35,Female,49,91000,14,Lawyer
36,Female,21,95000,81,Healthcare
37,Female,42,14000,17,Doctor
38,Female,30,62000,73,Healthcare
39,Female,36,9000,26,Artist
40,Female,20,69000,75,Artist
41,Female,65,25000,35,Artist
42,Male,24,85000,92,Healthcare
43,Male,48,22000,36,Artist
44,Female,31,33000,61,Artist
45,Female,49,72000,28,Engineer
46,Female,24,3000,65,Lawyer
47,Female,50,52000,55,Artist
48,Female,27,71000,47,Healthcare
49,Female,29,78000,42,Healthcare
50,Female,31,25000,42,Engineer
51,Female,49,88000,52,Artist
52,Male,33,97000,60,Artist
53,Female,31,74000,54,Artist
54,Male,59,68000,60,Entertainment
55,Female,50,18000,45,Marketing
56,Male,47,95000,41,Artist
57,Female,51,71000,50,Healthcare
58,Male,69,8000,46,Doctor
59,Female,27,57000,51,Artist
60,Male,53,89000,46,Lawyer
61,Male,70,84000,56,Artist
62,Male,19,50000,55,Artist
63,Female,67,50000,52,Lawyer
64,Female,54,48000,59,Lawyer
65,Male,63,63000,51,Lawyer
66,Male,18,9000,59,Entertainment
67,Female,43,3000,50,Doctor
68,Female,68,82000,48,Artist
69,Male,19,81000,59,Artist
70,Female,32,97000,47,Homemaker
71,Male,70,91000,55,Healthcare
72,Female,47,9000,42,Entertainment
73,Female,60,44000,49,Artist
74,Female,60,10000,56,Healthcare
75,Male,59,89000,47,Artist
76,Male,26,49000,54,Homemaker
77,Female,45,67000,53,Doctor
78,Male,40,99000,48,Artist
79,Female,23,97000,52,Engineer
80,Female,49,98000,42,
81,Male,57,52000,51,Healthcare
82,Male,38,61000,55,Healthcare
83,Male,67,120000,41,Artist
84,Female,46,34000,44,Entertainment
85,Female,21,24000,57,Marketing
86,Male,48,31000,46,Healthcare
87,Female,55,11000,58,Artist
88,Female,22,55000,55,Artist
89,Female,34,76000,60,Entertainment
90,Female,50,56000,46,Doctor
91,Female,68,46000,55,Entertainment
92,Male,18,36000,41,Artist
93,Male,48,88000,49,Artist
94,Female,40,31000,40,Entertainment
95,Female,32,24000,42,Artist
96,Male,24,80000,52,Artist
97,Female,47,2000,47,Artist
98,Female,27,67000,50,Artist
99,Male,48,58000,42,Doctor
100,Male,20,80000,49,Engineer
101,Female,23,65000,41,Artist
102,Female,49,4000,48,Executive
103,Male,67,98000,59,Artist
104,Male,26,52000,55,Executive
105,Male,49,86000,56,Healthcare
106,Female,21,82000,42,Doctor
107,Female,66,43000,50,Homemaker
108,Male,54,78000,46,Lawyer
109,Male,68,13000,43,Healthcare
110,Male,66,13000,48,Healthcare
111,Male,65,34000,52,Entertainment
112,Female,19,25000,54,Artist
113,Female,38,71000,42,Doctor
114,Male,19,2000,46,Artist
115,Female,18,97000,48,Executive
116,Female,19,51000,50,Executive
117,Female,63,9000,43,Lawyer
118,Female,49,79000,59,Artist
119,Female,51,84000,43,
120,Female,50,87000,57,Artist
121,Male,27,36000,56,Executive
122,Female,38,50000,40,Executive
123,Female,40,97000,58,Engineer
124,Male,39,6000,91,Healthcare
125,Female,23,12000,29,Entertainment
126,Female,31,46000,77,Marketing
127,Male,43,89000,35,Engineer
128,Male,40,4000,95,Artist
129,Male,59,38000,11,Engineer
130,Male,38,64000,75,Entertainment
131,Male,47,66000,9,Executive
132,Male,39,26000,75,Lawyer
133,Female,25,41000,34,Healthcare
134,Female,31,45000,71,Artist
135,Male,20,89000,5,Engineer
136,Female,29,92000,88,Executive
137,Female,44,76000,7,Artist
138,Male,32,85000,73,Artist
139,Male,19,22000,10,Marketing
140,Female,35,15000,72,Artist
141,Female,57,32000,5,Engineer
142,Male,32,66000,93,Artist
143,Female,28,62000,40,Doctor
144,Female,32,85000,87,Lawyer
145,Male,25,71000,12,Engineer
146,Male,28,26000,97,Marketing
147,Male,48,52000,36,Engineer
148,Female,32,38000,74,Lawyer
149,Female,34,51000,22,Healthcare
150,Male,34,90000,90,Artist
151,Male,43,30000,17,Lawyer
152,Male,39,41000,88,Engineer
153,Female,44,17000,20,Engineer
154,Female,38,92000,76,Artist
155,Female,47,80000,16,Healthcare
156,Female,27,10000,89,Marketing
157,Male,37,16000,1,Executive
158,Female,30,87000,78,Artist
159,Male,34,66000,1,Lawyer
160,Female,30,86000,73,Artist
161,Female,56,9000,35,Artist
162,Female,29,50000,83,Healthcare
163,Male,19,35000,5,Executive
164,Female,31,58000,93,Healthcare
165,Male,50,47000,26,Doctor
166,Female,36,54000,75,Artist
167,Male,42,79000,20,Homemaker
168,Female,33,83000,95,Artist
169,Female,36,57000,27,Artist
170,Male,32,0,63,Artist
171,Male,40,69000,13,Artist
172,Male,28,4000,75,Executive
173,Male,36,79000,10,Lawyer
174,Male,36,99000,92,Artist
175,Female,52,20000,13,Lawyer
176,Female,30,28000,86,Artist
177,Male,58,29000,15,Engineer
178,Male,27,45000,69,Healthcare
179,Male,59,86000,14,Healthcare
180,Male,35,42000,90,Engineer
181,Female,37,59000,32,Artist
182,Female,32,61000,86,Entertainment
183,Male,46,11000,15,Artist
184,Female,29,66000,88,Artist
185,Female,41,39000,39,Artist
186,Male,30,72000,97,Artist
187,Female,54,14000,24,Lawyer
188,Male,28,44000,68,Doctor
189,Female,41,76000,17,Engineer
190,Female,36,95000,85,Artist
191,Female,34,92000,23,Artist
192,Female,32,98000,69,Artist
193,Male,33,96000,8,Executive
194,Female,38,45000,91,Artist
195,Female,47,8000,16,Artist
196,Female,35,46000,79,Executive
197,Female,45,78000,28,Artist
198,Male,32,4000,74,Artist
199,Male,32,81000,18,Executive
200,Male,30,33000,83,Artist
201,Female,21,40000,10,Healthcare
202,Male,34,85000,16,Healthcare
203,Female,16,60000,0,Engineer
204,Female,76,60000,39,Healthcare
205,Female,62,63000,59,Entertainment
206,Female,63,10000,52,Healthcare
207,Female,19,55000,61,Healthcare
208,Male,46,93000,12,Artist
209,Female,48,15000,7,Doctor
210,Female,80,39000,33,Engineer
211,Female,1,57000,93,Engineer
212,Female,0,22000,92,Artist
213,Male,86,12000,70,Marketing
214,Male,49,50000,82,Lawyer
215,Male,48,95000,68,Doctor
216,Female,46,66000,70,Healthcare
217,Male,79,20000,40,Doctor
218,Female,83,35000,99,Doctor
219,Female,66,71000,34,Executive
220,Female,59,76000,61,
221,Female,39,84000,33,Artist
222,Female,95,72000,51,Engineer
223,Male,43,33000,55,Artist
224,Female,93,93000,37,Healthcare
225,Female,40,83000,48,Homemaker
226,Female,78,23000,8,Engineer
227,Female,25,40000,77,Artist
228,Male,76,89000,86,Healthcare
229,Male,0,33000,64,Marketing
230,Male,15,94000,30,Healthcare
231,Female,6,93000,53,Lawyer
232,Male,84,7000,28,Healthcare
233,Female,67,18000,88,Lawyer
234,Female,78,3000,14,Healthcare
235,Female,4,84000,54,Artist
236,Female,29,62000,34,Healthcare
237,Male,91,9000,96,Healthcare
238,Male,95,36000,35,
239,Male,55,37000,74,Lawyer
240,Female,14,50000,11,Artist
241,Male,92,83000,16,Executive
242,Female,65,79000,17,Artist
243,Female,84,40000,14,Healthcare
244,Female,77,47000,58,Artist
245,Female,53,4000,20,Artist
246,Female,28,38000,75,Entertainment
247,Male,23,0,96,Doctor
248,Female,32,7000,16,Artist
249,Female,37,41000,2,Artist
250,Female,89,65000,0,Engineer
251,Male,80,20000,93,Engineer
252,Female,27,44000,65,Doctor
253,Female,78,3000,14,Artist
254,Female,86,72000,13,Lawyer
255,Female,46,27000,32,Engineer
256,Male,59,85000,49,Lawyer
257,Male,12,38000,18,Executive
258,Male,79,73000,96,Homemaker
259,Female,79,64000,64,Artist
260,Male,26,26000,60,Executive
261,Female,63,47000,16,Artist
262,Female,52,35000,85,Doctor
263,Female,32,31000,24,Lawyer
264,Female,64,13000,38,Engineer
265,Female,37,79000,10,Homemaker
266,Male,7,82000,39,Entertainment
267,Female,40,28000,68,Artist
268,Female,78,36000,79,Artist
269,Female,34,8000,76,Entertainment
270,Female,52,88000,39,Artist
271,Male,94,91000,36,Entertainment
272,Female,1,12000,82,Doctor
273,Female,96,1000,76,Entertainment
274,Female,18,143000,99,Artist
275,Female,37,18000,57,Artist
276,Male,78,65000,89,Lawyer
277,Male,16,9000,88,Executive
278,Male,93,95000,21,Artist
279,Female,74,78000,12,Engineer
280,Male,68,48000,73,Healthcare
281,Female,32,63000,87,Executive
282,Female,43,85000,63,Marketing
283,Female,52,43000,58,Artist
284,Female,63,74000,20,Artist
285,Female,33,67000,11,Healthcare
286,Male,86,59000,40,Artist
287,Female,85,140000,84,Entertainment
288,Female,73,31000,47,Healthcare
289,Female,21,5000,91,Marketing
290,Female,93,19000,58,Engineer
291,Male,9,27000,62,Entertainment
292,Female,10,68000,80,Doctor
293,Male,11,38000,66,Artist
294,Female,48,50000,36,Engineer
295,Female,73,80000,73,Entertainment
296,Female,66,69000,43,Executive
297,Female,79,31000,91,Engineer
298,Male,62,87000,41,Doctor
299,Male,17,79000,16,Artist
300,Male,32,32000,86,Entertainment
301,Male,85,153787,100,Entertainment
302,Male,31,95851,16,Healthcare
303,Female,31,145015,73,Healthcare
304,Female,38,148539,7,Healthcare
305,Female,90,117319,21,Lawyer
306,Female,65,180243,26,Marketing
307,Female,63,165052,12,Artist
308,Female,61,120487,14,Doctor
309,Male,26,112766,83,Engineer
310,Female,17,156488,65,Engineer
311,Male,56,97562,15,Executive
312,Female,12,77501,30,Engineer
313,Female,24,118302,100,Lawyer
314,Female,13,64277,9,Executive
315,Male,12,53927,77,Doctor
316,Male,72,93921,93,Lawyer
317,Female,54,132046,8,Homemaker
318,Male,45,183217,91,Artist
319,Male,66,182937,44,Marketing
320,Female,27,68272,56,Healthcare
321,Male,36,69841,21,Engineer
322,Male,5,69078,60,Lawyer
323,Female,89,110667,100,Healthcare
324,Male,13,95469,94,Doctor
325,Female,91,102861,40,Artist
326,Male,16,133551,7,Artist
327,Female,63,64589,90,Engineer
328,Male,52,152755,39,Engineer
329,Female,37,92313,58,Healthcare
330,Female,78,98922,2,Artist
331,Male,24,165846,33,Engineer
332,Female,4,93713,62,Engineer
333,Male,84,137641,67,Healthcare
334,Male,0,173743,96,Artist
335,Female,67,116126,58,Entertainment
336,Female,32,112246,30,Healthcare
337,Female,39,69384,75,Healthcare
338,Female,68,76529,62,Healthcare
339,Female,7,123804,28,Doctor
340,Female,76,68292,55,Artist
341,Female,84,173185,99,Artist
342,Male,75,142034,82,Entertainment
343,Male,22,107941,61,Artist
344,Female,90,149840,61,Engineer
345,Female,4,148431,99,Healthcare
346,Female,78,126599,84,Lawyer
347,Female,58,57180,22,Healthcare
348,Female,99,184426,41,Artist
349,Female,24,151085,39,Marketing
350,Female,88,166107,98,Artist
351,Female,92,67850,91,Artist
352,Male,99,173394,4,Engineer
353,Female,51,72303,98,Lawyer
354,Male,23,181760,35,Healthcare
355,Female,13,146858,75,Doctor
356,Male,22,172923,20,Engineer
357,Female,89,115811,87,Homemaker
358,Male,20,184324,51,Marketing
359,Female,72,67353,19,Lawyer
360,Male,17,165999,71,Healthcare
361,Male,90,164914,18,Artist
362,Male,99,63364,61,Entertainment
363,Female,39,182352,73,Engineer
364,Female,37,148544,56,Entertainment
365,Male,46,62833,85,Artist
366,Male,65,120627,72,Healthcare
367,Female,60,130898,30,Artist
368,Female,93,103130,74,Executive
369,Male,72,106681,15,Healthcare
370,Female,36,87353,25,Entertainment
371,Male,52,88046,61,Artist
372,Female,72,98168,49,Entertainment
373,Female,28,178265,5,Lawyer
374,Female,48,167232,92,Doctor
375,Male,85,140478,43,Doctor
376,Male,22,159296,83,Artist
377,Female,30,144043,78,Doctor
378,Male,46,72594,64,Artist
379,Female,82,180288,77,Artist
380,Female,73,165734,51,Entertainment
381,Male,8,175407,2,Artist
382,Male,90,70201,8,Engineer
383,Male,34,91503,26,Artist
384,Female,10,184522,43,Artist
385,Female,79,143560,83,Artist
386,Male,83,131574,97,Artist
387,Female,20,151124,18,Artist
388,Female,25,67447,5,Artist
389,Female,26,117454,8,Healthcare
390,Female,18,86203,23,Doctor
391,Female,7,136231,10,Artist
392,Male,1,89144,1,Doctor
393,Male,21,119116,30,Artist
394,Female,86,163463,31,Artist
395,Female,75,151696,82,Artist
396,Male,78,184736,52,Lawyer
397,Female,87,70419,69,Homemaker
398,Female,8,119104,41,Entertainment
399,Male,59,130950,28,Executive
400,Male,13,140950,77,Artist
401,Female,55,82285,35,Engineer
402,Female,50,91389,92,Healthcare
403,Male,54,186359,95,Doctor
404,Male,13,178989,46,Doctor
405,Male,79,166335,45,Engineer
406,Female,65,119889,11,Artist
407,Female,51,66852,73,Executive
408,Male,18,103896,36,Executive
409,Male,21,187761,87,Healthcare
410,Male,37,102717,93,Healthcare
411,Male,83,102647,83,Entertainment
412,Female,96,113585,31,Lawyer
413,Female,65,86509,88,Artist
414,Male,80,59099,44,Marketing
415,Female,75,135088,5,Lawyer
416,Female,87,110870,78,Engineer
417,Female,86,187667,12,Artist
418,Female,36,124614,25,Artist
419,Female,78,166492,40,Homemaker
420,Female,62,172758,69,Entertainment
421,Male,89,122430,19,Healthcare
422,Female,56,183540,96,Entertainment
423,Female,35,96484,34,Artist
424,Male,33,112587,71,Artist
425,Female,58,155672,71,Entertainment
426,Female,68,72847,93,Artist
427,Male,38,71897,32,Entertainment
428,Male,31,158479,57,Doctor
429,Male,90,89251,4,Entertainment
430,Male,28,179911,24,Engineer
431,Male,1,111558,85,Healthcare
432,Male,78,127615,78,Executive
433,Female,23,50076,32,Artist
434,Female,25,77779,62,Artist
435,Male,59,169999,38,Engineer
436,Female,7,106581,76,Doctor
437,Female,24,78223,41,Lawyer
438,Male,76,136259,14,
439,Male,37,153399,93,Entertainment
440,Female,6,162858,91,Artist
441,Female,0,57373,29,
442,Male,3,133602,47,Artist
443,Female,95,66322,88,Artist
444,Female,0,68761,16,Lawyer
445,Male,7,70749,86,Artist
446,Male,54,65874,87,Artist
447,Male,89,115996,24,Engineer
448,Female,58,67097,91,Engineer
449,Female,12,108027,64,Artist
450,Male,7,176349,80,Healthcare
451,Male,11,88452,40,Healthcare
452,Male,74,128266,55,Engineer
453,Female,64,156777,20,Healthcare
454,Female,48,123234,50,Lawyer
455,Female,8,60790,38,Artist
456,Female,15,181332,99,Artist
457,Male,1,187297,7,Artist
458,Female,21,153885,86,Artist
459,Male,84,53500,44,Marketing
460,Female,5,69443,28,Doctor
461,Female,47,124072,56,Lawyer
462,Female,96,135800,29,Healthcare
463,Male,93,120597,96,Artist
464,Female,16,91358,11,Entertainment
465,Male,56,53231,41,Marketing
466,Female,76,156330,31,Engineer
467,Male,0,186002,80,Doctor
468,Female,70,111760,53,Executive
469,Female,47,143906,12,Artist
470,Male,13,182410,22,Healthcare
471,Male,86,98463,46,Homemaker
472,Male,91,93762,28,Artist
473,Male,97,104582,50,Healthcare
474,Male,20,130813,92,Artist
475,Female,11,59202,92,Healthcare
476,Female,28,79968,45,Lawyer
477,Male,32,104824,42,Artist
478,Male,82,188719,30,Lawyer
479,Male,39,187536,66,Healthcare
480,Male,7,134008,85,Entertainment
481,Female,13,176397,71,Artist
482,Female,34,154888,43,Healthcare
483,Male,76,155622,81,Healthcare
484,Female,30,62330,60,Healthcare
485,Female,69,112838,34,Healthcare
486,Male,22,58283,59,Homemaker
487,Female,60,77857,81,Artist
488,Male,66,125024,25,Artist
489,Female,57,136242,34,Artist
490,Female,60,81934,81,Healthcare
491,Female,59,130511,97,Artist
492,Female,54,144502,88,Lawyer
493,Male,90,63769,6,Artist
494,Female,14,66760,20,Artist
495,Female,34,135115,54,Entertainment
496,Female,85,179877,17,Healthcare
497,Female,83,93351,65,Doctor
498,Male,12,84547,96,Homemaker
499,Male,95,121725,3,
500,Male,41,65723,91,Artist
501,Female,38,96794,96,Healthcare
502,Male,68,72352,61,Healthcare
503,Female,4,53097,21,Healthcare
504,Female,5,144831,17,Artist
505,Female,3,183851,10,Doctor
506,Female,20,111896,90,Executive
507,Female,3,64824,30,Executive
508,Male,36,88565,16,Healthcare
509,Female,70,104974,63,Artist
510,Female,17,167060,47,Artist
511,Female,31,69018,17,Artist
512,Female,48,174109,96,Entertainment
513,Male,28,62186,29,Marketing
514,Male,97,183783,70,Healthcare
515,Male,81,83771,1,Artist
516,Female,37,148196,91,Artist
517,Male,85,131742,87,Entertainment
518,Female,78,59971,94,Homemaker
519,Female,13,88960,2,Entertainment
520,Female,53,140107,38,Healthcare
521,Female,41,161896,49,Entertainment
522,Female,9,57272,60,Engineer
523,Male,20,119952,2,Healthcare
524,Female,98,167197,63,Doctor
525,Female,44,186116,2,Healthcare
526,Female,66,134677,59,Healthcare
527,Female,58,180479,74,Healthcare
528,Male,97,112783,21,Artist
529,Male,13,150258,17,Doctor
530,Male,48,115832,92,Artist
531,Female,47,104834,44,Artist
532,Male,93,152571,66,Doctor
533,Female,11,162287,45,Engineer
534,Female,68,171761,59,Doctor
535,Female,87,77709,73,Artist
536,Female,22,95053,17,Entertainment
537,Male,89,74820,33,Doctor
538,Male,57,152267,92,Engineer
539,Male,91,71925,14,Artist
540,Female,84,151340,95,Artist
541,Male,56,162921,51,Executive
542,Female,26,52234,30,Executive
543,Female,56,100271,87,Artist
544,Female,6,170266,23,Artist
545,Female,33,88763,1,Entertainment
546,Female,89,107359,26,
547,Male,99,164781,83,Engineer
548,Female,25,156016,85,Artist
549,Female,96,186882,40,Entertainment
550,Female,35,99300,88,Homemaker
551,Male,16,58127,65,Marketing
552,Female,81,89211,12,Doctor
553,Female,7,148607,59,Homemaker
554,Female,31,139592,62,Marketing
555,Female,16,172051,62,Healthcare
556,Male,89,57033,99,Artist
557,Male,84,117612,63,Engineer
558,Male,40,185321,96,Artist
559,Female,17,186577,5,Healthcare
560,Male,0,151298,89,Artist
561,Female,69,123925,52,Artist
562,Female,17,169496,12,Lawyer
563,Female,0,142892,25,Entertainment
564,Female,34,58979,3,Entertainment
565,Female,51,141416,100,Healthcare
566,Male,54,104854,67,Healthcare
567,Female,19,180331,14,Artist
568,Female,99,172896,13,Engineer
569,Female,2,101451,82,Healthcare
570,Female,91,189974,37,Engineer
571,Male,65,90084,65,Artist
572,Female,47,112247,24,Executive
573,Female,91,181775,61,Artist
574,Female,64,59088,31,Artist
575,Female,91,60856,23,Artist
576,Male,32,149900,34,Artist
577,Male,15,142776,98,Engineer
578,Male,22,162598,84,Artist
579,Female,37,146195,89,Healthcare
580,Male,83,135268,53,Lawyer
581,Female,89,136037,1,Marketing
582,Female,33,111191,67,Artist
583,Female,13,144111,62,Entertainment
584,Female,71,177359,56,Doctor
585,Female,10,112818,85,Marketing
586,Male,49,53509,98,Artist
587,Female,9,168269,75,Executive
588,Female,53,86766,2,Lawyer
589,Female,63,52661,25,Healthcare
590,Female,46,148520,14,Healthcare
591,Male,42,149936,52,Artist
592,Female,73,102296,31,Entertainment
593,Male,75,178416,16,Executive
594,Female,49,83788,41,Doctor
595,Female,96,184771,77,Engineer
596,Female,52,70302,88,Executive
597,Female,15,58639,51,Entertainment
598,Male,91,97879,40,Entertainment
599,Male,22,64707,29,Entertainment
600,Male,62,71795,87,Healthcare
601,Male,41,76567,85,Doctor
602,Male,61,126370,20,
603,Female,71,154007,32,Artist
604,Female,91,69720,78,Lawyer
605,Female,94,85265,68,Executive
606,Female,3,155864,31,Healthcare
607,Female,15,99421,72,Artist
608,Female,96,145457,57,Executive
609,Male,12,118041,77,Artist
610,Female,23,73759,83,Doctor
611,Male,94,90082,17,Artist
612,Female,7,74928,12,Artist
613,Female,74,101352,36,Lawyer
614,Female,52,93947,81,Healthcare
615,Male,39,134629,23,Engineer
616,Male,72,101858,70,Healthcare
617,Female,55,165501,47,Artist
618,Male,29,135931,74,Lawyer
619,Male,38,103356,20,Marketing
620,Female,44,75195,79,Artist
621,Male,58,123083,44,Entertainment
622,Male,77,73884,30,Healthcare
623,Female,56,91180,61,Entertainment
624,Male,79,86235,52,Artist
625,Female,97,96400,4,Doctor
626,Male,78,83599,12,Healthcare
627,Female,91,82535,50,Healthcare
628,Male,35,92227,8,Lawyer
629,Female,43,150444,27,Artist
630,Female,37,149095,83,Lawyer
631,Male,63,113605,42,Artist
632,Female,16,93854,82,Healthcare
633,Male,32,118280,92,Artist
634,Male,91,94576,90,Artist
635,Female,33,129257,70,Executive
636,Female,57,70373,10,Healthcare
637,Female,43,77600,66,Healthcare
638,Female,26,113707,97,Entertainment
639,Female,59,189672,8,Doctor
640,Female,61,143180,58,Artist
641,Female,59,174890,14,Marketing
642,Male,66,121377,19,
643,Male,26,154857,13,Healthcare
644,Female,67,160945,51,Healthcare
645,Female,85,119557,35,Artist
646,Female,76,187141,33,Doctor
647,Female,57,97468,22,Artist
648,Female,77,160351,77,Lawyer
649,Female,66,178627,94,Healthcare
650,Female,49,170188,80,Lawyer
651,Female,36,166007,40,Doctor
652,Male,74,91794,83,Entertainment
653,Female,16,189072,86,Artist
654,Male,27,152717,15,Executive
655,Female,3,158549,98,Executive
656,Male,31,134263,94,Marketing
657,Female,30,148236,28,Executive
658,Male,94,171677,81,Artist
659,Female,31,189446,38,Artist
660,Male,49,106633,53,Artist
661,Male,49,81084,48,Executive
662,Male,53,148759,52,Doctor
663,Female,3,117638,95,Healthcare
664,Female,91,159537,37,Doctor
665,Male,26,79526,6,Marketing
666,Male,28,101414,64,
667,Female,92,109519,72,Entertainment
668,Female,59,156880,70,Artist
669,Male,15,157278,58,Artist
670,Female,23,144916,84,Engineer
671,Male,54,59163,100,Marketing
672,Female,93,93991,49,Artist
673,Female,65,58318,45,Doctor
674,Female,13,180786,88,Lawyer
675,Male,71,84622,45,Doctor
676,Male,1,92674,59,Artist
677,Female,57,87553,94,Artist
678,Male,14,74174,79,Entertainment
679,Female,77,180831,33,Healthcare
680,Female,89,137397,33,Doctor
681,Male,17,96154,100,Artist
682,Male,86,172477,69,Entertainment
683,Male,42,59954,37,Executive
684,Female,29,112240,95,Entertainment
685,Female,54,145679,35,Artist
686,Male,96,136265,49,Artist
